,NumberOfCustomers
123,429.76734427001793
124,417.95277622088906
125,415.16031443935935
126,400.3670260484505
127,323.80944512950373
128,-13.926889447902795
129,444.30982090946054
130,420.8398210061132
131,437.8018936397857
132,433.5915564026218
133,427.4593322654546
134,348.4298120716703
135,15.309692130394978
136,351.1130540688464
137,313.77869496680796
138,328.8901510978467
139,326.8799365333107
140,327.1559048309573
141,359.6400439098361
142,-30.10452493908815
143,416.9989419239864
144,415.0182893781748
145,429.3406464824802
146,418.61058854911244
147,382.69151951471576
148,315.7152400551131
149,2.2144585787900724
150,411.2710765325173
151,408.9703567811521
152,403.8901829824317
153,482.37007382069714
154,398.405401856493
155,369.70247985230526
156,0.5802499663259368
157,350.90546092091245
158,348.96857007720973
159,346.4536479465605
160,360.69873890822055
161,353.15971594059374
162,354.817526784027
163,-0.2915688159700949
164,443.80012948653894
165,451.5386040760786
166,447.5314596272656
167,447.67747959159897
168,431.7746898519108
169,343.4894307332288
170,5.653500912769232
171,338.3465903449978
172,361.54249709588476
173,356.295001554623
174,228.33667074822006
175,222.407361877762
176,3.8552437676407862
177,242.94977701071184
178,206.86941957258387
179,-4.413832141784951
180,304.4396633450524
181,288.37168868398294
182,274.97836896948866
183,272.9760638967855
184,278.23113209649455
185,305.1910918709618
186,-8.84962477296358
187,289.7940705466899
188,253.8156623623363
189,286.2804962605733
190,268.0503032428387
191,273.7740530102892
192,233.20601912830898
193,-4.18888141104253
194,231.76225574940327
195,213.2736553652212
196,241.17852451359795
197,241.31419996061595
198,250.98406622004404
199,215.68767431480228
200,-12.60415927300346
201,231.77690258837538
202,273.8681628629274
203,278.48112666848465
204,222.09852039755788
205,100.69752247218275
206,225.94226546099526
207,-16.706916593800997
208,275.12485417028074
209,267.346277249002
210,300.8458447266021
211,276.44955875122105
212,293.0158688198426
213,249.0494269951887
214,-6.41963867546292
215,239.7638997262693
216,223.4772419006622
217,238.1572618578357
218,232.38118253694847
219,227.1058427704411
220,235.76490512664896
221,-3.336946336814435
222,282.66622455447214
223,294.9820817660366
224,294.98699159524404
225,293.77906106752926
226,283.6936670309806
227,218.76657738743233
228,-12.388160897884518
229,216.4463851549517
230,235.94507167648408
231,231.96795113502594
232,5.299916753458092
233,219.16666807897855
234,190.8380444085633
235,-7.322827919648262
236,240.87523834843887
237,0.39095700182951987
238,224.77028301247628
239,231.43152144385385
240,224.27625044807792
241,260.727421958989
242,38.683232873125235
243,227.87749296886614
244,248.7592508944217
245,226.8505999109475
246,261.50528640064294
247,246.30223789982847
248,188.147328851599
249,-3.381551504979143
250,183.75670319708297
251,183.33967948070494
252,173.54779836311354
253,178.48322274792008
254,173.60697685639025
255,176.4448792244657
256,-14.654800946562318
257,233.62363682169234
258,220.30428930345806
259,233.04506574213156
260,233.0098275547789
261,224.50902865402168
262,185.50359407014912
263,-10.755948413774604
264,203.05799403472338
265,285.01048614876345
266,319.0004505777615
267,252.89216779754497
268,257.07302626172896
269,183.78041933008353
270,-48.52859553421149
271,175.5330322990485
272,200.49373284965986
273,173.7887033301813
274,189.87543497845763
275,174.50219121878035
276,181.33833451685496
277,3.9015929099696223
278,246.695958085038
279,251.11189337586984
280,237.79290033906
281,242.95447020811844
282,279.83142125821905
283,175.54684401658596
284,7.80621527985204
285,193.5240723376628
286,178.13817823154386
287,191.55245254471083
288,249.59172217702144
289,249.07985666490276
290,0.9813705522683449
291,229.49008898163447
292,235.39322931543575
293,-1.2910370678291656
294,357.1464268154232
295,340.88632171050995
296,330.03186512790853
297,265.00807053848985
298,303.4021312763507
299,273.0286310019146
300,-3.0555326144385617
301,337.8629353607248
302,326.6436788465071
303,310.8828722060716
304,339.0940738498466
305,323.76497630457743
306,250.18070135993185
307,9.573549353488488
308,278.38567999290535
309,268.46193283441244
310,268.8327272970637
311,269.210409841995
312,274.12862129032146
313,221.6291086062556
314,-4.7950340660172515
315,308.79714852009783
316,326.2833682569617
317,318.40857738466
318,221.67347925101058
319,305.80053936256445
320,220.4550615339249
321,-17.465292495850008
322,281.4135267875972
323,164.0837904086511
324,343.42907704089885
325,353.4468564680137
326,362.87447643553605
327,241.83933297439944
328,-12.54854171606712
329,245.54463769239374
330,237.97871915673022
331,263.0121245838527
332,288.92729443268036
333,263.2864486014587
334,288.63314729067497
335,12.162983650545357
336,344.5200997039792
337,331.43809597485233
338,351.30590068077436
339,360.6524687447236
340,311.66962974407943
341,213.14486966410186
342,-9.069070062279934
343,236.33450755703961
344,268.662858182186
345,260.2657561718079
346,455.73184859208413
347,438.22793669169187
348,-4.74666602392972
349,487.34678546154464
350,452.9422498499771
351,-4.152911323631997
352,565.7308001551137
353,567.8707804639853
354,563.6066888431233
355,535.8907199696114
356,523.1344081309799
357,435.99523890193086
358,10.33286058261001
359,563.7447281866916
360,539.254821438386
361,553.7317720780993
362,553.405707891041
363,586.1431150501448
364,457.8814029205096
365,-7.014445474778768
366,446.17858546560456
367,439.92829197832907
368,449.97704739774053
369,457.3233563914837
370,457.9038541609625
371,435.68772285440355
372,-18.842111476769787
373,557.8525828948477
374,561.9553163380624
375,568.1561754160066
376,544.8661383701838
377,547.7640244057548
378,466.4097435400181
379,-32.217404255250585
380,543.7496464592841
381,552.1370363573515
382,553.729418704519
383,558.7086553091503
384,570.4417008100136
385,459.45917686008033
386,-16.496181991518824
387,492.5126072770945
388,470.8767822918162
389,464.9439862730942
390,450.3254934658471
391,438.609696258296
392,443.0406570505438
393,-15.932794448672212
394,571.1028657011339
395,578.5947801726288
396,572.78158120015
397,570.0369886973058
398,566.4751667834789
399,464.0368444942869
400,-7.446936170832487
401,442.7763751783932
402,457.1537447646988
403,452.1749972903053
404,230.19064870101283
405,214.1824266045296
406,10.840395045641344
407,263.09159506839933
408,230.4988625802216
409,-3.6221247956564184
410,285.53351979090075
411,284.02171788577107
412,279.25879577582236
413,263.39474538195645
414,244.44828675955068
415,216.80672268518538
416,25.886989857332082
417,292.2796512989444
418,267.8227110247535
419,274.09295797283994
420,277.7132021202415
421,300.4836187172914
422,216.9406012709951
423,1.0533004397002514
424,218.6494132077205
425,212.48299577261787
426,210.29465583559067
427,225.45377561586793
428,217.1473756647756
429,207.4892539542925
430,-7.725874100331566
431,280.63565766232205
432,277.4942499617755
433,290.97376953580533
434,269.12201433975133
435,265.38335332015413
436,229.65500640282698
437,-19.51282263570465
438,268.7537123566726
439,268.8368166703294
440,270.52818599114835
441,278.6516289678839
442,286.2745990716503
443,234.5144407965272
444,-27.050900540853036
445,256.9756815837027
446,234.3343982519291
447,229.78654425789136
448,216.28123536903877
449,207.23068943686667
450,212.86404840483738
451,-10.99741926677234
452,283.9322340624931
453,296.81141391021083
454,287.512874750435
455,285.7577884425118
456,282.3889881678624
457,233.48290342150722
458,-9.637406148540322
459,217.45170036178024
460,223.71024101343937
461,216.53241199045442
462,246.8754744376638
463,254.80001144160633
464,11.880885682665394
465,237.7944943094335
466,237.63581236572645
467,-2.8374438361788634
468,329.75890170304046
469,315.2161331539537
470,303.8958854046359
471,261.5573651181476
472,291.88521050367854
473,294.75800840673037
474,1.8959928328404203
475,322.79459595635126
476,307.86953385149536
477,288.17299386599916
478,325.19108723649697
479,300.02570023259614
480,250.9268739051331
481,7.579246051347582
482,275.30706216333783
483,258.5032108009764
484,262.96478728493094
485,268.87447824314586
486,270.9571684454859
487,227.74825559416786
488,0.8231955340015702
489,292.4651208480791
490,301.3933738222113
491,298.7966381597653
492,205.4870272440894
493,278.83405414700974
494,224.4012266790378
495,-18.28835417611117
496,253.55027151681134
497,141.45403427031124
498,311.8336872822547
499,316.98869579617167
500,333.654129654984
501,245.92639267530467
502,-11.869285328575643
503,250.16349150822498
504,239.26711688749492
505,264.1328931491298
506,286.2499519374105
507,261.8539135704923
508,288.3896752390865
509,3.3600210355507443
510,313.4001632541913
511,309.44860462119686
512,323.43525184347527
513,331.4685566149419
514,294.1870845991216
515,224.1594451826968
516,-12.194097687199246
517,247.77916605575592
518,273.1166016781499
519,261.87200363428565
520,235.4484802393854
521,222.00152996463294
522,-17.07643671570986
523,245.87450673377316
524,273.02269546943717
525,5.644430483545875
526,332.12116805656115
527,336.69212960771983
528,324.2625676878379
529,351.4607810670859
530,359.5393530057336
531,278.4519627763657
532,-9.827971537364647
533,367.8678728908126
534,354.8925478256133
535,352.29742027894827
536,358.3210533005622
537,370.780836960359
538,260.8393832918373
539,-0.7523011528101051
540,266.595674670898
541,254.4798329020996
542,254.06768627626298
543,240.0825084559183
544,214.18321873887908
545,251.20768168395443
546,-1.6233002515073167
547,351.54010838585964
548,318.3009298382385
549,363.8945675177092
550,348.5511570942035
551,349.9430306588911
552,266.43439872442104
553,5.572705549522652
554,358.8637220849196
555,356.38557282417605
556,330.14696020398696
557,347.1861774012359
558,325.06615692818013
559,249.2960114588932
560,-43.38727552983619
561,251.82160329919134
562,259.6159724173194
563,257.118796618277
564,244.842325771795
565,266.01027120523213
566,261.66846858408826
567,-1.7304831496585393
568,345.7538384083746
569,353.0154238060786
570,343.27591718347685
571,353.94147361071373
572,356.49971074161294
573,248.61378432328638
574,0.031695653291535564
575,236.9041842464212
576,258.2299093636684
577,265.067589132741
578,342.19974354378064
579,348.94886435050284
580,10.171554137108615
581,329.6070124467078
582,328.1261176729895
583,6.865684492338914
584,459.54973923866055
585,441.72629238286754
586,431.0135460281017
587,365.7607840881974
588,405.1172975494992
589,371.657564236928
590,4.854829398027505
591,438.74835587333655
592,427.0161073984491
593,413.0911657053948
594,439.8343815181288
595,423.1822543455346
596,350.1745102559653
597,9.835072548448807
598,380.0080969975679
599,361.61055709037464
600,368.6725378012634
601,369.087026508525
602,374.45307141856756
603,317.43614358006744
604,5.1754498314112425
605,411.21225513721583
606,428.01970501220785
607,420.5078846493998
608,320.2215389723715
609,400.8897889152868
610,313.5095684221742
611,-16.898348695627647
612,374.53895989982993
613,261.68221816251753
614,441.27365057650604
615,452.5295890981506
616,467.9323090580292
617,341.9107585034799
618,-5.694418318016687
619,343.4184026099392
620,333.9631289487297
621,365.086318425223
622,387.46032505566836
623,362.0045353762689
624,387.82465579072596
625,19.255407462478615
626,447.6364031842095
627,433.3457433897129
628,453.29782437707763
629,462.968464674952
630,412.0768253368442
631,314.2577977347828
632,-3.1244844892789843
633,328.5490227190603
634,368.044944582929
635,357.94832283310825
636,159.5180063706648
637,158.90417158059427
638,-1.3378135117236525
639,136.35797604219988
640,144.42398471169872
641,-1.8677858948940411
642,257.30693745517056
643,239.8059811469866
644,231.67143185873283
645,168.65111577199423
646,203.66266754450044
647,182.31830956638441
648,-5.823634220694657
649,238.9279232377885
650,227.17208851114265
651,212.0000539556495
652,241.54651571952854
653,224.42401627180516
654,158.29189822243643
655,8.447717909584753
656,185.68569506771746
657,176.32261443405878
658,175.2166440767469
659,176.46677584314602
660,181.64499235956464
661,131.65329288036446
662,-3.509780625317944
663,211.2960014566488
664,227.64672099478776
665,219.6626059555565
666,121.85300151503179
667,207.6744732618099
668,128.56629501158022
669,-16.353741817903938
670,184.8549028573034
671,64.95068054212607
672,244.6919730445661
673,253.53868719033198
674,261.6701374912809
675,147.9398225498153
676,-14.91822917261743
677,155.1034478530055
678,147.16340285539627
679,169.4724107561051
680,197.27204309386434
681,171.2253240867285
682,196.1199532551982
683,11.427635535190348
684,244.3539988749253
685,234.1680972869508
686,253.04347306577256
687,261.27129624108784
688,213.31179432052886
689,119.62840563233476
690,-9.858752382482635
691,146.20120430577663
692,177.42043531910167
693,169.3377596839855
694,490.09450359019684
695,476.4858668420493
696,22.98203090185416
697,479.76571474570665
698,558.4885805427912
699,-4.151104424177902
700,551.1165217056987
701,577.0096069907304
702,550.1303041153005
703,536.1162575922353
704,526.6098057874042
705,482.26013966272876
706,124.86482130398508
707,529.478819308657
708,533.9581890735863
709,514.0598055723822
710,568.2493090213684
711,551.1170585140062
712,499.2648955245386
713,-24.87972545498633
714,468.5491613103659
715,446.62430907561793
716,502.3986121724447
717,496.5695064293541
718,466.197569972428
719,480.14784137383685
720,-17.09808564420382
721,554.2788908580842
722,538.117302658793
723,539.5537594094494
724,514.0557554773986
725,528.1700215145247
726,487.0159048233327
727,-14.261298721889034
728,534.9421407797781
729,553.2216127555876
730,530.5955352733727
731,554.004965462489
732,600.6624443099427
733,490.2421186887368
734,-42.94546036384418
735,511.66328119221726
736,496.7827792503522
737,496.072032245982
738,480.4122310219973
739,479.15779751483933
740,495.276314683666
741,-13.410485363128828
742,561.9734532447765
743,570.8121997089474
744,577.7152636615792
745,562.6351508428052
746,529.5131588235672
747,497.621850009833
748,7.5963500308280345
749,471.9161065093649
750,498.05885665721144
751,482.647709250974
752,255.4348368732608
753,275.91545580280945
754,16.10890827658295
755,294.784050771661
756,299.5052531648398
757,8.661552623656462
758,354.588277437535
759,356.91189727257006
760,342.73300154405297
761,340.8841803784453
762,325.7024730262492
763,259.6313623318856
764,-7.577606545761228
765,370.12123999075266
766,344.62113139875873
767,361.3129530469596
768,356.0724492929148
769,349.03423722914886
770,286.16850855118537
771,23.941714399756165
772,287.6486459297885
773,247.14017440108
774,260.3072187665384
775,258.8619723018637
776,258.03664425255556
777,291.72101479108096
778,-23.062065860242
779,337.5713938872941
780,336.147546921653
781,352.9387387299357
782,339.20358182014024
783,305.815570548104
784,249.26213200415077
785,9.071751596435206
786,333.23492845435976
787,331.0161646629276
788,326.11363427279866
789,402.66189395284164
790,323.01022984212614
791,308.6648179368349
792,3.3727909721201286
793,283.4377762314107
794,283.87574368016794
795,280.4094472886354
796,298.25917651214695
797,284.7362773036293
798,286.0828045133094
799,6.523602362634847
800,369.04992910324654
801,373.5193231988087
802,368.45606234285515
803,369.22932065697387
804,353.28855404364003
805,274.0618814010959
806,12.850742456386797
807,269.83987062372034
808,295.0875689993263
809,289.0644968677807
810,276.6152265909186
811,270.12130551954033
812,-7.271115555340657
813,280.12882713324507
814,248.61828193737892
815,-4.960066478233784
816,387.8325173842313
817,368.0130968884914
818,351.2549820020795
819,340.68948959972477
820,346.04786636086646
821,335.29688029937097
822,-14.116518953000195
823,362.0847156268137
824,330.170702822943
825,357.82866345217917
826,348.4863271302602
827,348.20478471386014
828,280.82498690119246
829,-5.347564518917352
830,281.78877916399506
831,267.4665647900838
832,291.58812657382805
833,290.3104800849105
834,300.2981859401043
835,263.129741030134
836,-15.41736887121806
837,306.52967815162265
838,352.58820348404697
839,354.31289711929276
840,292.7189393568551
841,173.46224374545272
842,275.19365404802375
843,-16.79599902423797
844,357.1646847255761
845,352.9288619166473
846,390.2891116643441
847,360.2450970232894
848,374.7325219946506
849,297.07672587409616
850,-6.124258247495163
851,287.78958388449973
852,274.8563145182852
853,287.69305545202224
854,283.3637379043503
855,278.94320241580135
856,286.0710367250431
857,1.3250719239586033
858,365.8230222662096
859,376.92049232003046
860,381.63438278759713
861,374.6933465618058
862,365.66121560300235
863,265.29844742870773
864,-5.339013131480897
865,255.33676297182683
866,287.2848650952219
867,284.3560719877423
868,234.47172200141358
869,247.56950101455732
870,4.612725565122673
871,289.6032501318259
872,275.8965074157022
873,15.305526120850118
874,320.89363108130055
875,337.6659846264083
876,318.8459590708371
877,351.94920921564335
878,354.46988736437925
879,326.83952812696225
880,-3.429143538858625
881,360.6542318225984
882,319.1973761298286
883,318.39342933493026
884,340.79108198557515
885,329.786875855556
886,255.302627956582
887,-15.019387700449442
888,245.04963317178772
889,231.09146861807676
890,241.97327567034517
891,215.5331896280113
892,230.5005481740518
893,243.99156889844744
894,-13.291696049069287
895,303.0844544224092
896,310.3296393683413
897,327.93422423806624
898,308.4141438730294
899,308.1148882712587
900,250.2043003620056
901,-14.33513583644526
902,447.7795886909007
903,320.4355258123542
904,317.9956268648093
905,294.08610757462156
906,275.61516980614397
907,234.0173127524904
908,-1.446978715757723
909,268.1872389948694
910,257.78053076486685
911,252.82221211148135
912,252.8487959886843
913,258.87516168883303
914,262.58390623293235
915,-8.939866384491324
916,324.51268279075157
917,323.330107789021
918,339.6131831900857
919,335.81303137599025
920,333.4543609821121
921,249.76993653987302
922,-8.912827895052033
923,245.61017109079694
924,272.01181506914145
925,255.65780612906383
926,15.732314993641921
927,220.74350214429433
928,179.0578724040388
929,-0.7191507963725599
930,201.25884758040775
931,-21.575968998426106
932,191.1453598308144
933,199.37135719307116
934,204.62390779267298
935,272.88241818675306
936,55.156096063699806
937,201.77888566198817
938,195.09807023576286
939,191.39788265885727
940,218.1871210506506
941,203.94156724504137
942,179.9910426431452
943,-2.86475306758075
944,168.8306718156382
945,170.39759329154913
946,161.3146832184284
947,167.07555296175997
948,161.54957784168073
949,161.5368414298864
950,-14.541790324787144
951,197.48503692467057
952,186.53308926528553
953,195.79848056322953
954,199.13064849983493
955,191.78269551397534
956,168.37153470687917
957,-10.371837215003325
958,169.94744312443072
959,247.54297501748079
960,282.6779086034803
961,215.1114650038653
962,219.20878878184885
963,162.672105671576
964,-41.67875438835472
965,168.6276198037085
966,188.5588273526373
967,164.81880039260432
968,179.82122200063895
969,162.57494939200114
970,170.35867721267277
971,8.771267846605042
972,211.06549828783318
973,216.28916971819126
974,202.79851793614216
975,203.9458149267739
976,243.059830573824
977,158.44223913937458
978,12.022206951674889
979,187.5476769269444
980,162.94128238827398
981,178.5744291151641
982,175.70659881093889
983,174.50866504150326
984,-1.7967327864607796
985,153.42569963578717
986,160.9344043484307
987,-2.7090985990071204
988,275.16134596578195
989,257.9751626737998
990,248.99132563738385
991,186.88031905604294
992,222.30642663463368
993,199.37765100676916
994,-5.623092904104851
995,257.4517918457277
996,245.82070228160592
997,229.7741518416442
998,259.8177423728339
999,242.7372664276918
1000,174.32358972818474
1001,8.452293003065279
1002,201.54768095936743
1003,192.529765614192
1004,191.21053483779542
1005,192.14833862392697
1006,197.24241557359346
1007,147.76162430644035
1008,-4.609449877636507
1009,228.83176021734835
1010,245.2440864771197
1011,237.6404980055231
1012,139.99372684879927
1013,225.5746589511691
1014,143.9834992646065
1015,-16.916211361123715
1016,202.30886807272327
1017,82.39116451411974
1018,262.2548378325009
1019,271.4953152748931
1020,279.33407321289997
1021,163.9967605525162
1022,-15.119516872015083
1023,170.83093391242437
1024,162.89465514587937
1025,186.08853451136383
1026,212.70459995197598
1027,186.83608033804921
1028,212.56052039077622
1029,10.291624919744208
1030,262.1876472493168
1031,251.3576056509337
1032,270.21140662103426
1033,278.6383649294148
1034,231.52841865972732
1035,135.63715505303117
1036,-10.800663600995904
1037,162.50084148626775
1038,193.58276763238246
1039,185.03070091712289
1040,281.6201655494806
1041,270.60849967130343
1042,25.5507057577488
1043,264.4020451501565
1044,345.30221895792056
1045,-0.8899478040111717
1046,318.2531231273897
1047,341.7855946695054
1048,317.8921230396227
1049,307.7131401866354
1050,296.4161522377981
1051,273.5717467071663
1052,124.42758602829417
1053,300.6144168492174
1054,307.66993317239394
1055,285.29016861272976
1056,337.6406299335649
1057,314.0952722852526
1058,285.7468492719927
1059,-18.695516363310162
1060,260.70761239371495
1061,243.71818577447266
1062,294.3275756115909
1063,285.02011548726296
1064,261.62010010442464
1065,273.5516001757205
1066,-8.35823067149613
1067,326.2193459582195
1068,307.05274095662753
1069,310.34922957321396
1070,285.9586097356223
1071,299.2171144676395
1072,283.6960266900569
1073,-4.409347957203863
1074,305.712157166854
1075,323.99802528748114
1076,300.78430045033747
1077,325.4217704201874
1078,368.93113942982745
1079,280.64633840434544
1080,-47.64055671254755
1081,303.6229822480236
1082,287.751479406812
1083,284.30854570143856
1084,271.55471075474634
1085,272.2129117110453
1086,285.2310762696725
1087,-7.270228391716955
1088,329.06788231257815
1089,341.23675376275787
1090,346.78392297017854
1091,329.8590181904292
1092,297.85954971268075
1093,289.5571364734351
1094,8.514815606555203
1095,265.60505728275166
1096,288.7731316185964
1097,273.2510967197304
1098,277.425306343619
1099,265.90437884337734
1100,-1.2297505116439424
1101,288.29988900592434
1102,314.50370576424757
1103,11.570124817051692
1104,351.0139638790861
1105,354.99354338107514
1106,346.0227528794494
1107,374.6228313341271
1108,384.1702437327185
1109,328.1804278368945
1110,-6.37755490562995
1111,387.231419609976
1112,375.36292506131576
1113,368.0014656447747
1114,378.55114519043127
1115,386.44512210809626
1116,298.04041856198455
1117,-4.050413628865499
1118,304.7912049461738
1119,293.91503164661117
1120,290.97566335153533
1121,281.5204161730653
1122,254.96535700757522
1123,286.89698334716377
1124,0.281964444759069
1125,370.0724975609919
1126,339.17301059377496
1127,381.5752098382509
1128,370.2372453138232
1129,372.9266822896607
1130,306.463360342168
1131,6.342928207013756
1132,374.23752399595105
1133,373.980746417772
1134,345.5616403199965
1135,362.20255179025116
1136,346.0583019082551
1137,295.54008805859485
1138,-38.745562347525265
1139,302.4109258518438
1140,299.5331022486207
1141,293.7756268597441
1142,280.01948784061824
1143,301.0353038275207
1144,300.4531932611426
1145,-2.136617875570664
1146,361.2564951092936
1147,370.46006220171694
1148,360.28868666579365
1149,365.1238898804295
1150,371.20492100861156
1151,293.74487568449695
1152,-2.235523873270722
1153,283.67553723978926
1154,293.08115638257004
1155,300.5875049759925
1156,363.90083572211734
1157,366.2013125011872
1158,10.176190025900723
1159,389.3060389857419
1160,377.5184797705151
1161,85.06749419709377
1162,454.6069657224871
1163,6.816251401192858
1164,443.28510730018024
1165,445.84287954679166
1166,463.20302671597165
1167,341.3102181203285
1168,-59.51068550540367
1169,421.6653685646306
1170,418.4580258712667
1171,447.96554764246684
1172,439.66099124793254
1173,446.16808206407586
1174,370.76446506837965
1175,2.530046731189941
1176,357.06853337924986
1177,337.01429779588943
1178,371.70474504506274
1179,361.73344412015285
1180,372.04202173762314
1181,384.4054348395439
1182,0.16556526545900851
1183,436.96596567728557
1184,448.47548153210664
1185,451.85694837332994
1186,445.31772398998146
1187,411.8171421038569
1188,367.98194968541793
1189,-0.9088991572061786
1190,458.2649729526747
1191,417.6974257070833
1192,447.17266684939386
1193,452.0572512937215
1194,447.63548677378276
1195,383.537700005385
1196,40.425844200130086
1197,379.01163075525255
1198,360.4283925470809
1199,372.00160672068887
1200,368.6052002438082
1201,344.0413639276521
1202,349.0212914046715
1203,-3.264153575655655
1204,435.6574349536677
1205,441.0991599583067
1206,450.5810282101738
1207,435.7425288362283
1208,437.795786222021
1209,362.8037185470894
1210,-12.839159256167477
1211,361.9964282594592
1212,374.7737264514726
1213,357.63589486767887
1214,364.3262327577686
1215,377.0164336769085
1216,17.87591558492568
1217,408.0568073005852
1218,414.40408862326876
1219,5.819180995313218
1220,452.8033940637979
1221,447.83442008669954
1222,438.9384453507955
1223,439.83835247902607
1224,435.6051560255437
1225,378.4264364991395
1226,3.6661253041384043
1227,475.8417223893921
1228,441.79050655962783
1229,462.30558108570403
1230,454.59891437027545
1231,443.6780518849555
1232,384.4172686069942
1233,7.513525060654501
1234,389.72196994734986
1235,357.0530223493988
1236,371.49019443028374
1237,367.4212342297542
1238,366.69666823514854
1239,400.3196314750094
1240,-24.985222833201988
1241,434.98879862803733
1242,436.2652614042454
1243,449.48475455526204
1244,447.7204447563563
1245,406.2116166224878
1246,361.24212459923
1247,12.1846608826163
1248,434.86470050676144
1249,430.67249553030706
1250,419.611300974575
1251,489.0548062112357
1252,416.92282618160243
1253,412.0037264133134
1254,12.81108330533607
1255,393.8006657497026
1256,386.8758624637121
1257,378.4792459385935
1258,391.0382965236786
1259,386.09591340337647
1260,376.7062979278271
1261,-9.072890460738563
1262,468.8449047196482
1263,466.7803887976479
1264,459.54492814672994
1265,450.3170623075712
1266,444.013008112699
1267,381.499871700129
1268,1.278663985489402
1269,383.57845539330447
1270,391.39437812902906
1271,380.55729796993546
1272,254.87377198961622
1273,255.26543984370073
1274,17.26925954464241
1275,283.90353670940385
1276,271.12336610977945
1277,80.66787283222948
1278,337.211563222314
1279,0.30324213854328264
1280,323.97726423855056
1281,333.386974815483
1282,350.45770960739173
1283,239.2693288805458
1284,-56.148462312761694
1285,307.0000760043331
1286,309.2096489589312
1287,336.3255917882343
1288,321.83921706881665
1289,335.1299966600345
1290,258.57007884050836
1291,4.272763562592445
1292,246.17843729541346
1293,229.77716806753597
1294,259.76329709551646
1295,252.45275779445365
1296,262.329130406637
1297,276.03742696619884
1298,3.299223247129703
1299,319.7689830530435
1300,326.00375248614
1301,332.4628650689119
1302,335.8247728914721
1303,293.9728189955058
1304,259.58580287084624
1305,2.212917361583095
1306,335.89223566906
1307,299.9094009235996
1308,324.23103431242635
1309,326.76132578621036
1310,320.5945438735798
1311,273.31397124500654
1312,48.89894153016212
1313,270.5356406513747
1314,249.60563445606385
1315,265.0156676767656
1316,260.6539707918273
1317,228.42305768540245
1318,233.03955401538406
1319,-2.1372874026274076
1320,312.70228638208937
1321,323.85900632708217
1322,327.150883406066
1323,314.32651792795514
1324,319.0607982943184
1325,253.0761652312358
1326,-12.93077262234874
1327,259.69456866125984
1328,263.4179708047741
1329,239.82742601036443
1330,244.1869989426341
1331,223.93941913396702
1332,-0.5704203307395801
1333,266.6396772360313
1334,233.90918526164023
1335,2.342298467323417
1336,323.7892949801753
1337,325.56151809031144
1338,319.2379409657151
1339,293.5251780960825
1340,275.0016138598439
1341,211.2871401719167
1342,22.00035947919241
1343,317.9332965105132
1344,293.4360224592965
1345,306.4947560970322
1346,308.87668065025355
1347,334.10395988970413
1348,236.47535567966406
1349,4.6050581119488925
1350,236.4388709232735
1351,229.77409619645914
1352,231.46575394071988
